epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
107,6382.51,0.71297,0.50006,1.21043,0.04555,0.96223,0.96322,0.98319,0.83198,0.62597,0.41588,1.23484,0.0208,0.006502,0.006502,0.006502
108,6440.14,0.70754,0.48135,1.19922,0.04073,0.92377,0.9831,0.98254,0.82955,0.64541,0.4279,1.23346,0.0208,0.006469,0.006469,0.006469
109,6498.18,0.70033,0.48388,1.19027,0.04243,0.94108,0.97053,0.97286,0.81908,0.64813,0.41919,1.25662,0.02237,0.006436,0.006436,0.006436
110,6556.25,0.71786,0.49462,1.19722,0.0422,0.93995,0.97532,0.98577,0.82749,0.65976,0.42569,1.26043,0.02656,0.006403,0.006403,0.006403
111,6613.68,0.69934,0.49283,1.1988,0.04311,0.97667,0.97823,0.98443,0.83899,0.64454,0.40992,1.24962,0.0217,0.00637,0.00637,0.00637
112,6671.25,0.69469,0.48592,1.18567,0.03886,0.9576,0.9799,0.9863,0.8343,0.63699,0.38995,1.23523,0.01841,0.006337,0.006337,0.006337
113,6728.78,0.68475,0.4698,1.18774,0.03862,0.95634,0.97387,0.98367,0.82499,0.63289,0.40904,1.24997,0.01736,0.006304,0.006304,0.006304
114,6786.68,0.70664,0.48149,1.18301,0.04212,0.94352,0.97564,0.98674,0.84072,0.62105,0.40528,1.21642,0.02356,0.006271,0.006271,0.006271
115,6844.88,0.69654,0.47335,1.18511,0.03979,0.9603,0.96768,0.9865,0.83967,0.64971,0.40761,1.2393,0.02271,0.006238,0.006238,0.006238
116,6902.7,0.7013,0.48912,1.18299,0.0392,0.95892,0.97292,0.98556,0.8382,0.6349,0.4027,1.25031,0.0244,0.006205,0.006205,0.006205
117,6960.2,0.68257,0.47574,1.16892,0.04135,0.945,0.97223,0.98348,0.83387,0.63643,0.42442,1.24915,0.02443,0.006172,0.006172,0.006172
