epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
75,2767.74,0.75056,0.54294,1.24804,0.0467,0.97776,0.9611,0.98841,0.80309,0.73232,0.47173,1.27067,0.0282,0.007558,0.007558,0.007558
76,2803.76,0.74541,0.53116,1.23845,0.04487,0.96194,0.97471,0.98503,0.8215,0.67681,0.4756,1.22856,0.02434,0.007525,0.007525,0.007525
77,2839.11,0.74395,0.52952,1.24076,0.04718,0.97134,0.96656,0.9873,0.829,0.66493,0.456,1.2561,0.02365,0.007492,0.007492,0.007492
78,2874.41,0.73944,0.54499,1.25195,0.04493,0.94773,0.95367,0.98234,0.80461,0.71359,0.47575,1.29519,0.02879,0.007459,0.007459,0.007459
79,2910.16,0.74982,0.52076,1.26139,0.04275,0.96249,0.96872,0.98517,0.8326,0.66411,0.44239,1.25547,0.02963,0.007426,0.007426,0.007426
80,2945.68,0.74895,0.5351,1.26006,0.04892,0.96475,0.97216,0.98754,0.82159,0.65383,0.44517,1.25466,0.02435,0.007393,0.007393,0.007393
81,2981.15,0.73649,0.52874,1.25128,0.04516,0.97224,0.96301,0.98829,0.83216,0.66062,0.42007,1.2264,0.021,0.00736,0.00736,0.00736
82,3016.54,0.72159,0.52299,1.24471,0.04681,0.94452,0.97385,0.97773,0.81167,0.67153,0.46104,1.26113,0.03605,0.007327,0.007327,0.007327
83,3052.39,0.75141,0.52745,1.26558,0.0488,0.96577,0.96176,0.98291,0.82514,0.66692,0.46585,1.23176,0.02838,0.007294,0.007294,0.007294
84,3087.8,0.74537,0.5292,1.26654,0.04659,0.96123,0.96371,0.98677,0.83404,0.65926,0.44176,1.2576,0.02602,0.007261,0.007261,0.007261
85,3123.58,0.74058,0.52252,1.24155,0.04569,0.95504,0.95789,0.9823,0.82855,0.66636,0.44985,1.24373,0.02512,0.007228,0.007228,0.007228
86,3158.7,0.72988,0.52159,1.2414,0.04644,0.95888,0.96783,0.98787,0.83086,0.65927,0.4349,1.25809,0.02481,0.007195,0.007195,0.007195
87,3194.17,0.76541,0.5434,1.27359,0.05079,0.96485,0.96162,0.98269,0.8194,0.6373,0.4467,1.23077,0.0255,0.007162,0.007162,0.007162
88,3229.66,0.72082,0.51659,1.24839,0.04381,0.94641,0.96336,0.98477,0.81582,0.67693,0.44377,1.25624,0.03286,0.007129,0.007129,0.007129
89,3264.91,0.71288,0.50388,1.22256,0.04652,0.96868,0.96692,0.98872,0.82927,0.67286,0.43722,1.28161,0.02539,0.007096,0.007096,0.007096
90,3300.62,0.72477,0.51918,1.23836,0.0429,0.96659,0.96792,0.98683,0.82142,0.66701,0.45224,1.24702,0.02306,0.007063,0.007063,0.007063
